alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.00048828125,0.165888873293,0.0161386584468,8
0.000244140625,0.243386016502,0.029150706914,12
0.0001220703125,0.275550361199,0.0401130143091,14
6.103515625e-05,0.297207000265,0.0559669149289,28
3.0517578125e-05,0.312774605778,0.0775582005797,45
1.52587890625e-05,0.336767769354,0.149685428046,94
7.62939453125e-06,0.36740645017,0.331101110965,187
3.81469726562e-06,0.401001172593,0.71102512739,262
1.90734863281e-06,0.42210536086,1.19523698097,364
9.53674316406e-07,0.433505019427,1.76131421563,470
4.76837158203e-07,0.438913635975,2.36691512735,639
